0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:09:14 +0700] "GET /magic-frontend/search-result?day=4&month=6&year=2019&from=1&to=2 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:09:25 +0700] "GET /magic-frontend/search-result?day=25&month=6&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:00 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17514
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:00 +0700] "GET /magic-frontend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:00 +0700] "GET /magic-frontend/jquery/modal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:00 +0700] "GET /magic-frontend/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/jquery/modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/danang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/nhatrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/phuquoc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/hanoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/dalat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/hoian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/header.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/hue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/r_logo_1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/vungtau.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:01 +0700] "GET /magic-frontend/imgs/cantho.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:28 +0700] "GET /magic-frontend/imgs/222.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:28 +0700] "GET /magic-frontend/search-result?day=1&month=7&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:46 +0700] "GET /magic-frontend/search-result?day=29&month=6&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:18:54 +0700] "GET /magic-frontend/search-result?day=30&month=6&year=2019&from=1&to=2 HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:19:01 +0700] "GET /magic-frontend/search-result?day=1&month=7&year=2019&from=1&to=2 HTTP/1.1" 200 557
